Title,ID,Published_date,Tags,Views,Likes,Comments,Duration,Captoins
A Love Letter to H2O: Water & pH: Crash Course Biology #21,zheKWEkW94o,2023-11-28T17:01:00Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'science', 'biology', 'crash course biology', 'ap bio', 'bio', 'water', 'polarity', 'h2o', 'sammy ramsey', 'dr sammy ramsey', 'samuel ramsey', 'dr buggs']",45769,0,32,PT12M52S,true
What is Life Made of? (Carbon & Biological Molecules): Crash Course Biology #20,y7raEBOvLwU,2023-11-14T17:00:52Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'polymerization', 'hydrolysis', 'chemical bonds', 'biological molecules', 'carbon', 'hydrogen', 'nitrogen', 'oxygen', 'phosphorous', 'sulfur']",67359,0,36,PT13M53S,false
How Did Humans Evolve? Crash Course Biology #19,TmNHk7kIxr8,2023-11-07T17:00:23Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'evolution', 'hominins']",244230,0,127,PT12M49S,true
Humans Develop Butt First (and other insights from the Tree of Life): Crash Course Biology #18,Aa1dGBKgGVc,2023-10-31T16:00:08Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'bio', 'biology', 'ap bio', 'evolution', 'prokaryote', 'eukaryote', 'protist', 'animals', 'plants', 'fungi', 'bacteria', 'tree of life', 'phylogeny', 'dr sammy ramsey', 'samuel ramsey', 'sammy ramsey', 'dr sammy', 'dr buggs', 'crash course biology']",54982,0,43,PT13M9S,true
How We're All Related (Phylogeny): Crash Course Biology #17,YM6Ekb5De2o,2023-10-24T16:00:34Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'taxonomy', 'systematics', 'phylogeny', 'genetics', 'dr. Motoo Kimura', 'phylogenetic trees', 'evolution']",45963,0,21,PT13M51S,true
How Did Life Begin? (Evolutionary History): Crash Course Biology #16,4mxJbgdiyIY,2023-10-17T16:00:04Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'microscopes', 'biology', 'sammy ramsey', 'dr. sammy ramsey', 'samuel ramsey', 'dr. buggs', 'ap bio', 'bio', 'evolution', 'macroevolution', 'rna', 'dna']",94323,0,104,PT13M10S,true
Where Do Species Come From? (Speciation): Crash Course Biology #15,WAUX8dXu6aw,2023-10-10T16:00:20Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'science', 'biology', 'bio', 'ap bio', 'studying', 'learning', 'stem', 'speciation', 'evolution', 'biodiversity', 'dr sammy', 'dr buggs', 'sammy ramsey', 'samuel ramsey']",64350,0,34,PT12M57S,true
Why do we have different skin colors? (Population Genetics): Crash Course Biology #14,4joZpdXeS4A,2023-10-03T16:00:02Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'bio', 'biology', 'ap bio', 'studying', 'learning', 'evolution', 'race', 'human genetics', 'melanin', 'skin color', 'clines', 'ancestry', 'human evolution', 'dr sammy', 'dr buggs', 'samuel ramsey', 'sammy ramsey']",106165,0,138,PT12M56S,true
Natural Selection: Life's Way of Stayin' Alive: Crash Course Biology #13,i-VeKZeyHZs,2023-09-19T16:00:27Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'sammy ramsey', 'samuel ramsey', 'natural selection', 'evolution', 'biology', 'bio', 'ap bio', 'science', 'learning', 'dr sammy', 'dr buggs']",52552,0,36,PT12M43S,true
Microevolution: What's An Allele Got to Do With It?: Crash Course Biology #12,fBOrzQP423A,2023-09-12T16:00:24Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'biology', 'ap bio', 'evolution', 'population evolution', 'genetics', 'gene flow', 'genetic drift', 'alele', 'study', 'science', 'stem', 'crash course biology', 'dr sammy', 'dr bugs', 'dr buggs', 'sammy ramsey', 'Hardy-Weinberg equation']",52428,0,42,PT12M32S,true
The Future of Botany: Crash Course Botany #15,eLt9itd3KhA,2023-09-07T16:35:07Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'botany', 'alexis nikole nelson', 'blackforager', 'astrobotany', 'plant communication', 'ethnobotany', 'plants in space', 'plant science', 'plant senses']",49446,0,57,PT12M37S,true
The Weird Thing About A Giraffe's Neck Nerve: Crash Course Biology #11,2TSIUt-lHyo,2023-09-05T16:00:02Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",48952,0,43,PT13M58S,true
Can Planting Trees Fix Climate Change? (Plants & Biomes): Crash Course Botany #14,FlkHfAWadaM,2023-08-31T16:00:20Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'botany', 'plant science', 'alexis nikole nelson', 'blackforager', 'ecology', 'conservation', 'climate change', 'biomes', 'ecosystems']",44113,0,27,PT12M39S,true
Are We in the Middle of Earth's Sixth Mass Extinction: Crash Course Biology #10,IALw687nswo,2023-08-29T16:00:10Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'conservation biology']",36864,0,28,PT13M53S,true
How We ALL Get Our Energy (Plants & Ecosystems): Crash Course Botany #13,oZtUFJAJ3lU,2023-08-24T16:00:39Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'botany', 'plants', 'agriculture', 'alexis nikole nelson', 'blackforager', 'ecosystems', 'autotrophs', 'heterotrophs', 'food webs', 'keystone species']",35361,0,26,PT13M42S,true
The Effects of Climate Change: Crash Course Biology #9,HsAUGbUgx6Y,2023-08-22T16:00:10Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",43909,0,38,PT12M19S,true
The Secret Social Lives of Plants (Population & Community Ecology): Crash Course Botany #12,b8avl_V8Jbo,2023-08-17T16:00:25Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'botany', 'plants', 'agriculture', 'alexis nikole nelson', 'blackforager', 'symbiotic', 'symbyosis', 'community ecology', 'ecology', 'population ecology', 'conservation', 'everglades']",39214,0,42,PT13M26S,true
What is Climate Change?: Crash Course Biology #8,Y1mPWVzaGQY,2023-08-15T15:00:19Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'sammy ramsey', 'dr sammy ramsey', 'samuel ramsey', 'dr bugs', 'dr sammy', 'biology', 'ap bio', 'climate change', 'greenhouse effect', 'eunice foote', 'nicole hernandez hammer', 'environmental justice']",69236,0,118,PT13M58S,true
GMOs are Nothing New: Plant Breeding & Gene Editing: Crash Course Botany #11,5ryUVuISxzg,2023-08-10T16:00:04Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'botany', 'plants', 'agriculture', 'alexis nikole nelson', 'blackforager', 'GMOs', 'plant genetics', 'plant breeding']",47238,0,98,PT14M3S,true
How Did We Save the Bald Eagle? (Population Ecology) Crash Course Biology #7,KfHYN6tZnpU,2023-08-08T16:00:26Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'biology', 'crash course biology', 'ap bio', 'sammy ramsey', 'samuel ramsey', 'dr sammy', 'dr bugs', 'ecology', 'population ecology', 'conservation ecology', 'science', 'stem', 'learning']",40310,0,28,PT13M43S,true
What Do Pea Plants Have To Do With Your Eye Color? (Mendelian Genetics): Crash Course Botany #10,Ox4bHA9fGGY,2023-08-03T16:00:15Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'botany', 'plant science', 'plant genetics', 'mendelian genetics', 'gregor mendel', 'pea plants', 'alelle', 'phenotype', 'genotype', 'haploid', 'diploid', 'plant breeding', 'inherited traits', 'alexis nikole nelson', 'blackforager', 'crash course botany']",51094,0,50,PT13M57S,true
Secret Friendships of Species: Crash Course Episode 6,yGYnwMSflBU,2023-08-01T16:00:47Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'community ecology', 'pets', 'secret language of animals']",54817,0,30,PT14M43S,true
Why Do Flowers Exist? (Gymnosperms & Angiosperms): Crash Course Botany #9,tnIi9fzXPXk,2023-07-27T16:00:47Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'plants', 'agriculture', 'alexis nikole nelson', 'blackforager', 'gymnosperm', 'gymnosperms', 'angiosperm', 'angiosperms', 'seeds', 'flowers', 'else marie friis', 'flower structure', 'plant science']",67095,0,64,PT14M20S,true
Why Don't These Plants Need Seeds? (Moss and Ferns): Crash Course Botany #8,usKrCTtArNc,2023-07-20T16:00:44Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'alexis nikole nelson', 'blackforager', 'black forager', 'botany', 'plant science', 'science', 'bryophytes', 'seedless vascular plants', 'liverwort', 'hornwort', 'moss', 'learning', 'nature']",54243,0,73,PT13M37S,true
Why Did All These Elephants Die? (Intro to Ecology): Crash Course Biology #5,aO3Yp45zmw8,2023-07-18T16:00:02Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'biology', 'crash course biology', 'AP Bio', 'samuel ramsey', 'dr sammy', 'sammy ramsey', 'dr bugs', 'ecology']",52391,0,35,PT14M25S,true
How Life is Organized: Crash Course Biology #4,cjR5zPrVjTc,2023-07-11T16:00:30Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'Sammy Ramsey', 'Dr. Sammy', 'Dr. Bugs', 'biology', 'AP Bio', 'bio', 'Asmeret Asefaw Berhe', 'Crash Course Biology']",73733,0,52,PT14M2S,true
How Do We Categorize Plants?: Crash Course Botany #7,rrLZPDGNr6w,2023-07-06T05:00:20Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'botany']",50136,0,119,PT13M23S,true
How Did Plants Evolve?: Crash Course Botany #6,ciGqnGFWqBs,2023-06-29T16:00:22Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'plants', 'botany', 'plant science', 'evolution', 'ecology', 'biology', 'alexis nikole nelson', 'blackforager']",65336,0,87,PT14M45S,true
What Biologists Do: Crash Course Biology #3,rgZhDoPgzK8,2023-06-27T16:00:41Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'Sammy Ramsey', 'Dr. Sammy', 'Dr. Bugs', 'Biology', 'Crash Course Biology', 'biologist', 'bio', 'AP Bio']",69624,0,56,PT12M38S,true
Photosynthesis and Cellular Respiration: Crash Course Botany #5,WzOrF5W4l3Q,2023-06-22T16:00:21Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'botany', 'photosynthesis', 'mitochondria', 'chloroplast', 'ribosomes', 'cellular respiration', 'plants', 'plant science', 'alexis nikole nelson', 'blackforager', 'science']",109465,0,81,PT13M,true
What Do These Creepy Plant Mouths Do? (Plant Tissues): Crash Course Botany #4,pqosCR6J2qo,2023-06-15T16:00:38Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'botany', 'photosynthesis', 'plant fibers']",61694,0,58,PT12M44S,true
The Scientific Method: Crash Course Biology #2,xOLcZMw0hd4,2023-06-13T16:00:44Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'Sammy Ramsey', 'Dr. Sammy', 'Dr. Bugs', 'biology', 'scientific method', 'AP Bio', 'bio']",147089,0,108,PT15M9S,true
Introduction to Biology: Crash Course Biology #1,tZE_fQFK8EY,2023-06-06T16:00:39Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'Sammy Ramsey', 'Dr. Sammy', 'Dr. Bugs', 'biology', 'AP Bio']",309423,0,283,PT13M27S,true
Plant Cells & Hormones: Crash Course Botany #3,y9BLCfcUcFg,2023-06-01T16:03:13Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'botany', 'plants', 'agriculture', 'alexis nikole nelson', 'blackforager', 'cells', 'auxin', 'gibberellins', 'ethylene', 'cytokinins', 'abscisic acid', 'plant hormones', 'photosynthesis', 'vacuoles', 'chloroplasts', 'organelles', 'Robert Hooke']",89766,0,141,PT12M58S,true
What Are Plants Made Of? Crash Course Botany #2,9AEzixu_xZk,2023-05-25T16:00:10Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'botany', 'plants', 'agriculture', 'alexis nikole nelson', 'blackforager', 'stem cells', 'meristems', 'leaves', 'fruits', 'vegetables', 'crash course botany', 'stems', 'roots', 'plant organs', 'are tomatoes fruits', 'are tomatoes vegetables']",139745,0,263,PT16M30S,true
NEW Crash Course Biology Series!,PWGBqskV1UQ,2023-05-23T16:00:14Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'biology', 'sammy ramsey', 'samuel ramsey', 'dr bugs', 'ap bio']",141098,0,234,PT4M19S,true
What is Botany? Crash Course Botany #1,2th5lAd-77A,2023-05-18T16:00:01Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'Alexis Nikole Nelson', 'BlackForager', 'botany', 'plants', 'plant science', 'science', 'nature', ""Maxi'diwiac"", 'Edmond Albius', 'Buffalo Bird Woman']",323925,0,1285,PT13M41S,true
Crash Course Botany Preview!,WACSnwKby2Y,2023-05-11T18:00:12Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'botany', 'plants', 'agriculture', 'alexis nikole nelson', 'blackforager']",126573,0,525,PT3M20S,true
How Can We Respond to Climate Change?: Crash Course Climate & Energy #12,3p51wKUuwOU,2023-04-26T16:00:07Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",58589,0,113,PT14M7S,true
The Hidden Price of Climate Change: Crash Course Climate & Energy #11,ML70W4O6F4E,2023-04-12T16:00:24Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson']",56443,0,113,PT13M40S,true
International Climate Agreements: Crash Course Climate & Energy #10,Z5YvjG4lTpQ,2023-04-05T16:00:17Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",36472,0,56,PT13M31S,true
Are Natural Disasters Actually Natural? (Climate Justice): Crash Course Climate & Energy #9,7ODrQW0vSmA,2023-03-22T19:30:01Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson']",63915,0,70,PT14M44S,true
How Will Climate Change Continue to Affect Us?: Crash Course Climate & Energy #8,eVUuwHGLIYo,2023-03-15T16:00:33Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson']",62240,0,142,PT14M22S,true
Can We Capture Greenhouse Gases?: Crash Course Climate & Energy #7,bjIXPPlg1TQ,2023-03-02T18:00:25Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'M Jackson', 'climate', 'energy', 'fast fashion', 'greenhouse gas']",56759,0,65,PT13M26S,true
Can We Gas Up... Without Gas?: Crash Course Climate & Energy #6,1-YtC3nwWwU,2023-02-15T17:00:01Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson', 'electric vehicles', 'electric cars']",64875,0,86,PT14M10S,true
Can We Keep Warm and Stay Cool Without Fossil Fuels?: Crash Course Climate & Energy #5,3yH5TuLYRcs,2023-02-01T18:00:01Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson']",70119,0,113,PT14M2S,true
How Can We Store Renewable Energy?: Crash Course Climate & Energy #4,rDkaZWirNME,2023-01-18T17:00:35Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson', 'duck curve', 'nuclear', 'carbon emissions', 'baseload', 'electricity']",97154,0,151,PT13M8S,true
Can We Make Electricity Without Fossil Fuels?: Crash Course Climate & Energy #3,pT7vRUGeEtA,2023-01-04T17:00:29Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson', 'green premium', 'nuclear power', 'wind power', 'solar power']",111147,0,381,PT12M53S,true
Why Do We Release So Much Gas?: Crash Course Climate & Energy #2,Q26Z4JWVZvk,2022-12-21T17:00:15Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson']",77802,0,184,PT14M5S,true
What is Climate Change?: Crash Course Climate & Energy #1,9PFhrpyWV-w,2022-12-07T17:00:05Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson']",159628,0,156,PT13M3S,true
Crash Course Climate & Energy Preview,dhFlDkES6Ws,2022-11-30T17:00:32Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'crash course', 'climate', 'climate change', 'climate and energy', 'apes', 'environmental science', 'fossil fuels', 'energy', 'M Jackson']",84419,0,126,PT4M7S,true
Black Lives Matter: Crash Course Black American History #51,i_OU4EcWQ6I,2022-11-09T18:55:38Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",162619,0,445,PT13M21S,true
Barack Obama: Crash Course Black American History #50,VKWEwBxDd9k,2022-11-02T21:39:23Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",133854,0,279,PT14M51S,true
Hurricane Katrina: Crash Course Black American History #49,VmqZvlj07-w,2022-10-19T21:07:32Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",133841,0,242,PT15M4S,true
The Future of Public Health: Crash Course Public Health #10,VvRr0oL6s_E,2022-10-06T17:00:30Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'health', 'public health', 'vanessa hill', 'covid', 'dr. fauci']",90975,0,67,PT12M50S,true
Toni Morrison: Crash Course Black American History #48,CbzLFgW_Wgc,2022-10-05T23:44:43Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'toni morrison', 'sula', 'beloved', 'black american history']",76045,0,84,PT12M1S,true
Global Health: Crash Course Public Health #9,2rfRk_mTf7M,2022-09-29T17:00:02Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'public health', 'vanessa hill', 'global health', 'covid', 'WHO']",69411,0,40,PT15M31S,true
How Laws Affect Your Health: Crash Course Public Health #8,Z08sh4PN8Lc,2022-09-22T17:00:30Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'public health', 'vanessa hill', 'health policy', 'covid', 'covid-19']",63454,0,67,PT13M53S,true
Rap and Hip Hop: Crash Course Black American History #47,RHCA5b9TkVg,2022-09-20T19:00:08Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'rap', 'hip hop', 'black american history', 'music history', 'tupac', 'notorious big']",232255,0,284,PT14M55S,true
Which Healthcare System is Best? Crash Course Public Health #7,vxvhGj9fA3g,2022-09-15T17:00:29Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",85954,0,158,PT12M45S,true
Intro to Epidemiology: Crash Course Public Health #6,_luU3I03JwE,2022-09-08T17:00:18Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",118584,0,35,PT14M49S,true
Anita Hill and Clarence Thomas: Crash Course Black American History #46,t_uMce7lK94,2022-09-06T23:15:00Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",73760,0,129,PT12M12S,true
Stress is Bad for Your Health: Crash Course Public Health #5,rKaG9VaM0pw,2022-09-01T17:00:32Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",106644,0,71,PT13M5S,true
Los Angeles Uprisings: Crash Course Black American History #45,prKS4YsSnmE,2022-08-26T18:00:19Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education']",88570,0,96,PT12M29S,true
How Society Affects Your Health: Crash Course Public Health #4,CcdSeqqMR5M,2022-08-25T17:00:13Z,"['vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'Vanessa hill', 'apha', 'public health', 'covid', 'housing', 'healthcare']",76277,0,54,PT13M49S,true
How the Environment Affects Your Health: Crash Course Public Health #3,g3vf0I_j9kk,2022-08-18T17:00:23Z,"['Crash Course', 'crashcourse', 'education', 'Vanessa hill', 'apha', 'public health', 'climate change', 'environmental justice', 'environment', 'pollution']",109728,0,74,PT14M25S,true
How Your Biology Affects Your Health: Crash Course Public Health #2,SzsifG0UvTM,2022-08-11T17:00:14Z,"['Crash Course', 'crashcourse', 'education', 'Vanessa hill', 'apha', 'public health', 'covid', 'camera jones', 'health inequities', 'biological determinants', 'determinants of health', 'environmental', 'social', 'determinants', 'epigenetics', 'Dutch Hunger Winter']",88662,0,71,PT12M42S,true
Jesse Jackson: Crash Course Black American History #44,C2vl1mixqLU,2022-08-09T20:11:56Z,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education']",63125,0,70,PT11M31S,true
What is Public Health? Crash Course Public Health #1,5aww-Bpgkf4,2022-08-04T17:22:20Z,"['Crash Course', 'crashcourse', 'education', 'Vanessa hill', 'apha', 'public health', 'covid', 'health inequities', 'camara jones']",114478,0,98,PT12M44S,true
Shirley Chisholm: Crash Course Black American History #43,ATfkyVN7M5c,2022-07-27T21:56:52Z,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education']",77732,0,56,PT11M46S,true
Crash Course Public Health Preview!,PjdJ19ugXzQ,2022-07-21T18:02:35Z,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'Vanessa hill', 'apha', 'public health', 'covid', 'determinants of health', 'health equity']",76101,0,115,PT4M40S,true
Celebration and Lifelong Learning | How to College | Crash Course,ItlvHgot7MQ,2022-07-14T22:00:10Z,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education']",39231,0,41,PT7M58S,true
The War on Drugs: Crash Course Black American History #42,shGpC_WVDQk,2022-07-13T13:18:06Z,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education']",170363,0,105,PT13M4S,true
Finances After College | How to College | Crash Course,wlM0WTPNup0,2022-07-07T22:00:23Z,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education']",47209,0,30,PT8M41S,true
After College | How to College | Crash Course,i4XTHxWBOXs,2022-06-30T22:00:18Z,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education']",53403,0,37,PT9M38S,true
Marsha P. Johnson and the Stonewall Rebellion: Crash Course Black American History #41,ftcvaJCKVjs,2022-06-29T22:57:56Z,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education']",90969,0,86,PT11M59S,true
